"tablescraper-selected-row href","lazy-image src","date","category","title","box_text"
"https://www.detik.com/jabar/berita/d-7555146/tokoh-pewayangan-di-balik-nomor-urut-peserta-pilgub-jabar-2024","https://akcdn.detik.net.id/community/media/visual/2024/09/24/prosesi-pengambilan-nomor-urut-peserta-pilgub-jabar_43.jpeg?w=300&q=80","Selasa, 24 Sep 2024 12:30 WIB","detikJabar","Tokoh Pewayangan di Balik Nomor Urut Peserta Pilgub Jabar 2024","Kontestasi Pilgub Jabar 2024 menuju babak baru usai pengundian nomor urut empat pasangan calon. KPU Jabar menggabungkan budaya Wayang Golek dalam prosesnya."
"https://news.detik.com/pilkada/d-7552672/kpu-resmi-tetapkan-4-paslon-di-pilgub-jawa-barat","https://akcdn.detik.net.id/community/media/visual/2024/09/18/ilustrasi-pemungutan-suara_43.png?w=300&q=80","Minggu, 22 Sep 2024 17:13 WIB","detikNews","KPU Resmi Tetapkan 4 Paslon di Pilgub Jawa Barat","KPU Jawa Barat telah menetapkan empat pasangan calon yang akan bertanding dalam Pilgub Jabar 2024. Keempat paslon tersebut dinyatakan memenuhi syarat."
"https://www.detik.com/jabar/pilkada/d-7549708/jeje-dan-ronal-siapkan-kampanye-dua-gaya-di-pilgub-jabar","https://akcdn.detik.net.id/community/media/visual/2024/08/31/bacalon-gubernur-dan-wakil-gubernur-jabar-jeje-wiradinata-ronal-surapradja_43.jpeg?w=300&q=80","Jumat, 20 Sep 2024 20:30 WIB","detikJabar","Jeje dan Ronal Siapkan Kampanye Dua Gaya di Pilgub Jabar","Pasangan calon Pilgub Jabar, Jeje Wiradinata dan Ronal Surapradja, siap bertarung. Strategi mereka fokus pada pemilih muda dan tradisional untuk meraih suara."
"https://www.detik.com/jabar/pilkada/d-7538941/menakar-kelemahan-4-pasangan-pilgub-jabar-2024","https://akcdn.detik.net.id/community/media/visual/2017/09/19/7eb9cc0a-a0b2-4c29-b60f-2a236c12de1e_43.jpg?w=300&q=80","Jumat, 13 Sep 2024 13:45 WIB","detikJabar","Menakar Kelemahan 4 Pasangan Pilgub Jabar 2024","Burhanuddin Muhtadi meriset kelemahan dan PR bapaslon Pilgub Jabar 2024. Dedi Mulyadi unggul popularitas, namun tantangan politik identitas mengancam."
"https://www.detik.com/jabar/pilkada/d-7531918/prinsip-bacagub-jabar-jeje-membangun-jawa-barat","https://akcdn.detik.net.id/community/media/visual/2024/09/09/bacagub-jeje-wiradinata_43.jpeg?w=300&q=80","Senin, 09 Sep 2024 20:00 WIB","detikJabar","Prinsip Bacagub Jabar Jeje Membangun Jawa Barat","Bakal Calon Gubernur (Bacagub) Jawa Barat (Jabar) Jeje Wiradinata akan memperkuat pola hubungan daerah dan provinsi agar tak ada lagi kesenjangan."
"https://hot.detik.com/celeb/d-7530356/ronal-surapradja-lagi-mau-manggung-malah-ditelepon-buat-jadi-cawagub-jabar","https://cdn.detik.net.id/detik2/images/default-43.gif?w=250","Minggu, 08 Sep 2024 11:58 WIB","detikHot","Ronal Surapradja Lagi Mau Manggung, Malah Ditelepon Buat Jadi Cawagub Jabar","Ronal Surapradja, presenter dan komedian, diusung PDIP sebagai Cawagub Jabar 2024 mendampingi Jeje Wiradinata. Ia terkejut menerima amanah ini."
"https://www.detik.com/jabar/pilkada/d-7525955/ini-hasil-pemeriksaan-kesehatan-4-bapaslon-pilgub-jabar-2024","https://cdn.detik.net.id/detik2/images/default-43.gif?w=250","Kamis, 05 Sep 2024 14:38 WIB","detikJabar","Ini Hasil Pemeriksaan Kesehatan 4 Bapaslon Pilgub Jabar 2024","Pemeriksaan kesehatan bakal calon Kepala Daerah di Jawa Barat telah dilakukan di Rumah Sakit Hasan Sadikin (RSHS). Begini hasilnya."
"https://www.detik.com/jabar/pilkada/d-7522900/menangkan-jeje-ronal-pdip-jabar-gelar-konsolidasi-bareng-organ-relawan","https://cdn.detik.net.id/detik2/images/default-43.gif?w=250","Selasa, 03 Sep 2024 18:42 WIB","detikJabar","Menangkan Jeje-Ronal, PDIP Jabar Gelar Konsolidasi Bareng Organ Relawan","Ono berharap agar para relawan segera bergerak mensosialisasikan Jeje-Ronal ke masyarakat sebagai pasangan yang paling tepat untuk memimpin Jawa Barat"
"https://www.detik.com/jabar/pilkada/d-7522036/jadi-bacagub-jabar-jeje-masih-sibuk-ngantor-di-pangandaran","https://cdn.detik.net.id/detik2/images/default-43.gif?w=250","Selasa, 03 Sep 2024 15:00 WIB","detikJabar","Jadi Bacagub Jabar, Jeje Masih Sibuk Ngantor di Pangandaran","Bakal Calon Gubernur Jawa Barat (Bacagub) Jeje Wiradinata masih pergi ngantor. Meskipun saat ini bakalan ikut kontestasi Pilgub Jabar 2024."
"https://www.detik.com/jabar/pilkada/d-7519455/cerita-jeje-tiba-tiba-jadi-bacagub-pdip-45-menit-jelang-batas-daftar-pilgub","https://cdn.detik.net.id/detik2/images/default-43.gif?w=250","Minggu, 01 Sep 2024 18:00 WIB","detikJabar","Cerita Jeje Tiba-tiba Jadi Bacagub PDIP 45 Menit Jelang Batas Daftar Pilgub","Jeje Wiradinata kembali menceritakan saat-saat ia ditelepon 45 menit sebelum penutupan pendaftaran Pilgub Jabar 2024."